DATE,Unemployment_Rate,GDP,House_Permits,Population_Growth,Recession,House_Tax,Total_Construction_Spending,Life_Expectancy,Mortgage_Rate_US,CPI,Households,Wilshire_REIT_Index_US,Housing_Inventory_Estimate,HPI
2003-01-01,5.991666666666666,11456.4495,1888.4166666666663,290626.25,0.0,611,890520.8333333333,77.0365853658537,5.826981132075472,184.8,17115.3635,2440.8655555555556,121466.5,133.7313333333333
2004-01-01,5.541666666666666,12217.19575,2057.583333333333,293262.3333333333,0.0,595,989220.0,77.4878048780488,5.839230769230769,189.54166666666663,19436.162,3199.1674603174606,123353.5,150.44025
2005-01-01,5.083333333333333,13039.197,2160.083333333333,295992.9166666666,0.0,667,1114935.3333333333,77.4878048780488,5.866730769230768,195.71666666666664,22226.5895,4007.5687301587295,125363.0,171.737
2006-01-01,4.6083333333333325,13815.583,1843.6666666666663,298817.6666666666,0.0,649,1164342.5,77.6878048780488,6.413269230769231,203.15833333333333,23833.805,5189.755378486056,127298.75,183.4475
2007-01-01,4.616666666666666,14474.227,1391.5,301696.1666666666,0.25,582,1147741.6666666665,77.9878048780488,6.337307692307692,209.58258333333333,23632.97675,5796.260557768924,129065.25,179.91891666666666
2008-01-01,5.8,14769.86175,895.8333333333333,304543.0833333333,1.0,674,1075922.9166666665,78.0390243902439,6.027169811320754,216.25508333333332,21751.596,4479.288142292489,130414.5,164.05741666666665
2009-01-01,9.283333333333331,14478.06725,582.0,307240.0833333333,0.5,657,912243.0,78.390243902439,5.036538461538462,217.05783333333332,19861.40825,2876.181468253968,131268.25,148.5450833333333
2010-01-01,9.60833333333333,15048.971,603.6666666666666,309838.8333333333,0.0,606,811522.6666666665,78.5414634146342,4.689807692307692,216.2535,19130.75775,4369.605396825396,131811.0,144.6745
2011-01-01,8.933333333333334,15599.7315,624.0,312295.25,0.0,638,790567.75,78.6414634146341,4.447884615384616,219.10425,18335.3635,5214.185793650794,132302.25,139.2595
2012-01-01,8.075,16253.97,828.5,314725.4166666666,0.0,691,853534.8333333333,78.7414634146342,3.6575,222.71383333333333,18244.0585,6048.94932,132829.75,140.99383333333333
2013-01-01,7.3583333333333325,16880.68325,988.0,317099.0,0.0,2122,912339.5833333331,78.7414634146342,3.975576923076923,227.34975,19661.1205,6735.057261904762,133508.5,154.52083333333331
2014-01-01,6.158333333333333,17608.13825,1052.0833333333333,319600.4166666666,0.0,2328,1015449.9166666666,78.8414634146341,4.168867924528302,233.21475,21168.8105,7549.14876984127,134320.5,164.69825
2015-01-01,5.275,18295.019,1177.4166666666665,322112.6666666666,0.0,2580,1130533.4166666665,78.690243902439,3.850576923076923,238.06041666666664,22618.5095,8606.190515873015,135201.0,172.18175
2016-01-01,4.875,18804.91325,1205.6666666666665,324609.3333333333,0.0,2631,1213454.1666666665,78.5390243902439,3.6540384615384616,243.97508333333332,24231.3045,9303.269246031745,136169.25,180.92575
2017-01-01,4.3583333333333325,19612.1025,1286.4166666666665,326859.6666666666,0.0,2589,1280869.75,78.5390243902439,3.989807692307692,251.23116666666664,26076.16725,9705.795577689245,137223.0,191.39875
2018-01-01,3.8916666666666666,20656.5155,1328.0833333333333,328794.5,0.0,2925,1333498.5,78.6390243902439,4.544615384615385,258.47641666666664,27926.74325,9716.15625498008,138347.25,202.47933333333333
2019-01-01,3.6833333333333327,21521.395,1389.25,330512.5833333333,0.0,3146,1389880.6666666665,78.7878048780488,3.9357692307692314,265.94541666666663,29407.53475,11258.021547619048,139511.25,209.46766666666667
2020-01-01,8.091666666666665,21322.9495,1479.0,331787.4166666666,0.5,3017,1500284.6666666665,76.9804878048781,3.1116981132075474,271.77725,31654.383,10288.611739130436,140757.75,222.1485833333333
2021-01-01,5.366666666666666,23594.03075,1739.6666666666665,332351.1666666666,0.0,3138,1653919.75,76.3292682926829,2.957692307692308,280.72066666666666,36812.67175,13361.793083003951,142125.25,260.053
2022-01-01,3.6416666666666666,25744.10825,1666.1666666666665,333595.0833333333,0.0,3423,1847809.5,,5.344038461538462,300.8020833333333,43130.79825,13332.06155378486,143718.5,298.4941666666667
