DATE,CPI
2003-01-01,184.8000000000000000
2004-01-01,189.5416666666666667
2005-01-01,195.7166666666666667
2006-01-01,203.1583333333333333
2007-01-01,209.5825833333333333
2008-01-01,216.2550833333333333
2009-01-01,217.0578333333333333
2010-01-01,216.2535000000000000
2011-01-01,219.1042500000000000
2012-01-01,222.7138333333333333
2013-01-01,227.3497500000000000
2014-01-01,233.2147500000000000
2015-01-01,238.0604166666666667
2016-01-01,243.9750833333333333
2017-01-01,251.2311666666666667
2018-01-01,258.4764166666666667
2019-01-01,265.9454166666666667
2020-01-01,271.7772500000000000
2021-01-01,280.7206666666666667
2022-01-01,300.8020833333333333
