DATE,Housing_Inventory_Estimate
2003-01-01,121466.500000000000
2004-01-01,123353.500000000000
2005-01-01,125363.000000000000
2006-01-01,127298.750000000000
2007-01-01,129065.250000000000
2008-01-01,130414.500000000000
2009-01-01,131268.250000000000
2010-01-01,131811.000000000000
2011-01-01,132302.250000000000
2012-01-01,132829.750000000000
2013-01-01,133508.500000000000
2014-01-01,134320.500000000000
2015-01-01,135201.000000000000
2016-01-01,136169.250000000000
2017-01-01,137223.000000000000
2018-01-01,138347.250000000000
2019-01-01,139511.250000000000
2020-01-01,140757.750000000000
2021-01-01,142125.250000000000
2022-01-01,143718.500000000000
