DATE,Population_Growth
2003-01-01,290626.250000000000
2004-01-01,293262.333333333333
2005-01-01,295992.916666666667
2006-01-01,298817.666666666667
2007-01-01,301696.166666666667
2008-01-01,304543.083333333333
2009-01-01,307240.083333333333
2010-01-01,309838.833333333333
2011-01-01,312295.250000000000
2012-01-01,314725.416666666667
2013-01-01,317099.000000000000
2014-01-01,319600.416666666667
2015-01-01,322112.666666666667
2016-01-01,324609.333333333333
2017-01-01,326859.666666666667
2018-01-01,328794.500000000000
2019-01-01,330512.583333333333
2020-01-01,331787.416666666667
2021-01-01,332351.166666666667
2022-01-01,333595.083333333333
