DATE,Total_Construction_Spending
2003-01-01,890520.833333333333
2004-01-01,989220.000000000000
2005-01-01,1114935.333333333333
2006-01-01,1164342.500000000000
2007-01-01,1147741.666666666667
2008-01-01,1075922.916666666667
2009-01-01,912243.000000000000
2010-01-01,811522.666666666667
2011-01-01,790567.750000000000
2012-01-01,853534.833333333333
2013-01-01,912339.583333333333
2014-01-01,1015449.916666666667
2015-01-01,1130533.416666666667
2016-01-01,1213454.166666666667
2017-01-01,1280869.750000000000
2018-01-01,1333498.500000000000
2019-01-01,1389880.666666666667
2020-01-01,1500284.666666666667
2021-01-01,1653919.750000000000
2022-01-01,1847809.500000000000
