DATE,Wilshire_REIT_Index_US
2003-01-01,2440.8655555555555556
2004-01-01,3199.1674603174603175
2005-01-01,4007.5687301587301587
2006-01-01,5189.7553784860557769
2007-01-01,5796.2605577689243028
2008-01-01,4479.2881422924901186
2009-01-01,2876.1814682539682540
2010-01-01,4369.6053968253968254
2011-01-01,5214.1857936507936508
2012-01-01,6048.9493200000000000
2013-01-01,6735.0572619047619048
2014-01-01,7549.1487698412698413
2015-01-01,8606.1905158730158730
2016-01-01,9303.2692460317460317
2017-01-01,9705.7955776892430279
2018-01-01,9716.1562549800796813
2019-01-01,11258.021547619048
2020-01-01,10288.611739130435
2021-01-01,13361.793083003953
2022-01-01,13332.061553784861
